,city,year,weekofyear,total_cases
467,sj,2002,4,26
468,sj,2002,6,18
469,sj,2002,7,22
470,sj,2002,8,16
471,sj,2002,9,18
472,sj,2002,10,6
473,sj,2002,11,12
474,sj,2002,12,6
475,sj,2002,13,6
476,sj,2002,14,3
477,sj,2002,15,7
478,sj,2002,17,1
479,sj,2002,18,3
480,sj,2002,19,2
481,sj,2002,20,2
482,sj,2002,21,1
483,sj,2002,22,10
484,sj,2002,23,3
485,sj,2002,27,2
486,sj,2002,28,6
487,sj,2002,30,3
488,sj,2002,31,5
489,sj,2002,32,4
490,sj,2002,33,7
491,sj,2002,34,6
492,sj,2002,35,5
493,sj,2002,36,7
494,sj,2002,37,6
495,sj,2002,39,4
496,sj,2002,40,7
497,sj,2002,41,9
498,sj,2002,43,5
499,sj,2002,44,10
500,sj,2002,45,6
501,sj,2002,46,13
502,sj,2002,48,5
503,sj,2002,49,5
504,sj,2002,50,9
505,sj,2002,51,3
506,sj,2002,52,6
507,sj,2003,1,11
508,sj,2003,2,7
509,sj,2003,3,7
510,sj,2003,4,15
511,sj,2003,5,9
512,sj,2003,6,6
513,sj,2003,8,6
514,sj,2003,9,7
515,sj,2003,10,10
516,sj,2003,11,8
517,sj,2003,12,7
518,sj,2003,13,12
519,sj,2003,14,3
520,sj,2003,15,2
521,sj,2003,17,5
522,sj,2003,18,5
523,sj,2003,19,7
524,sj,2003,20,7
525,sj,2003,22,7
526,sj,2003,24,13
527,sj,2003,25,10
528,sj,2003,26,14
529,sj,2003,27,11
530,sj,2003,29,25
531,sj,2003,30,17
532,sj,2003,31,18
533,sj,2003,32,25
534,sj,2003,33,21
535,sj,2003,34,31
536,sj,2003,37,35
537,sj,2003,38,28
538,sj,2003,39,37
539,sj,2003,41,34
540,sj,2003,42,30
541,sj,2003,43,39
542,sj,2003,44,39
543,sj,2003,46,34
544,sj,2003,47,30
545,sj,2003,48,37
546,sj,2003,49,29
547,sj,2003,50,26
548,sj,2003,51,15
549,sj,2003,52,22
550,sj,2004,2,20
551,sj,2004,4,10
552,sj,2004,5,21
553,sj,2004,7,14
554,sj,2004,8,9
555,sj,2004,9,11
556,sj,2004,10,5
557,sj,2004,11,6
558,sj,2004,13,11
559,sj,2004,15,3
560,sj,2004,16,2
561,sj,2004,20,5
562,sj,2004,21,3
563,sj,2004,22,12
564,sj,2004,23,13
565,sj,2004,24,10
566,sj,2004,25,13
567,sj,2004,26,13
568,sj,2004,28,21
569,sj,2004,29,18
570,sj,2004,30,8
571,sj,2004,31,7
572,sj,2004,32,20
573,sj,2004,33,14
574,sj,2004,34,14
575,sj,2004,35,7
576,sj,2004,36,14
577,sj,2004,37,10
578,sj,2004,40,13
579,sj,2004,41,18
580,sj,2004,43,16
581,sj,2004,44,20
582,sj,2004,45,17
583,sj,2004,46,4
584,sj,2004,47,15
585,sj,2004,48,8
586,sj,2004,49,6
587,sj,2004,50,12
588,sj,2004,51,15
589,sj,2004,52,11
590,sj,2005,1,15
591,sj,2005,2,17
592,sj,2005,3,7
593,sj,2005,4,7
594,sj,2005,5,8
595,sj,2005,6,9
596,sj,2005,8,12
597,sj,2005,9,5
598,sj,2005,11,11
599,sj,2005,12,4
600,sj,2005,14,7
601,sj,2005,15,1
602,sj,2005,16,1
603,sj,2005,18,2
604,sj,2005,19,6
605,sj,2005,21,4
606,sj,2005,22,10
607,sj,2005,23,12
608,sj,2005,24,21
609,sj,2005,26,21
610,sj,2005,27,30
611,sj,2005,28,45
612,sj,2005,29,56
613,sj,2005,30,75
614,sj,2005,31,83
615,sj,2005,33,126
616,sj,2005,34,119
617,sj,2005,36,131
618,sj,2005,37,112
619,sj,2005,38,82
620,sj,2005,39,73
621,sj,2005,40,43
622,sj,2005,41,55
623,sj,2005,42,55
624,sj,2005,43,53
625,sj,2005,44,46
626,sj,2005,45,43
627,sj,2005,46,29
628,sj,2005,49,13
629,sj,2005,50,17
630,sj,2005,51,8
631,sj,2006,52,13
632,sj,2006,1,10
633,sj,2006,2,17
634,sj,2006,3,19
635,sj,2006,4,9
636,sj,2006,5,9
637,sj,2006,6,9
638,sj,2006,7,3
639,sj,2006,8,7
640,sj,2006,9,7
641,sj,2006,10,0
642,sj,2006,11,2
643,sj,2006,14,1
644,sj,2006,15,3
645,sj,2006,16,3
646,sj,2006,17,3
647,sj,2006,18,7
648,sj,2006,20,5
649,sj,2006,22,5
650,sj,2006,23,5
651,sj,2006,24,6
652,sj,2006,25,6
653,sj,2006,26,4
654,sj,2006,27,4
655,sj,2006,28,8
656,sj,2006,29,14
657,sj,2006,30,12
658,sj,2006,31,16
659,sj,2006,32,10
660,sj,2006,34,18
661,sj,2006,35,15
662,sj,2006,36,23
663,sj,2006,37,17
664,sj,2006,38,33
665,sj,2006,39,15
666,sj,2006,41,11
667,sj,2006,42,14
668,sj,2006,43,17
669,sj,2006,45,20
670,sj,2006,46,12
671,sj,2006,47,21
672,sj,2006,49,19
673,sj,2006,50,10
674,sj,2006,51,13
675,sj,2007,1,10
676,sj,2007,3,21
677,sj,2007,4,11
678,sj,2007,6,14
679,sj,2007,7,14
680,sj,2007,8,15
681,sj,2007,10,16
682,sj,2007,11,12
683,sj,2007,12,20
684,sj,2007,13,8
685,sj,2007,14,3
686,sj,2007,15,13
687,sj,2007,16,4
688,sj,2007,17,1
689,sj,2007,18,10
690,sj,2007,19,8
691,sj,2007,20,13
692,sj,2007,21,10
693,sj,2007,23,18
694,sj,2007,24,21
695,sj,2007,25,34
696,sj,2007,26,25
697,sj,2007,27,34
698,sj,2007,29,40
699,sj,2007,30,42
700,sj,2007,31,36
701,sj,2007,32,72
702,sj,2007,34,76
703,sj,2007,35,92
704,sj,2007,38,106
705,sj,2007,39,101
706,sj,2007,40,170
707,sj,2007,41,135
708,sj,2007,42,106
709,sj,2007,44,48
710,sj,2007,45,48
711,sj,2007,46,26
712,sj,2007,48,29
713,sj,2007,50,12
714,sj,2007,52,17
715,sj,2008,1,15
716,sj,2008,4,10
717,sj,2008,6,2
718,sj,2008,7,6
719,sj,2008,8,8
720,sj,2008,10,1
721,sj,2008,11,2
722,sj,2008,12,3
723,sj,2008,13,4
724,sj,2008,14,3
725,sj,2008,15,1
726,sj,2008,17,5
727,iq,2000,26,0
728,iq,2000,27,0
729,iq,2000,28,0
730,iq,2000,29,0
731,iq,2000,30,0
732,iq,2000,31,0
733,iq,2000,32,0
734,iq,2000,33,0
735,iq,2000,34,0
736,iq,2000,35,0
737,iq,2000,36,1
738,iq,2000,37,0
739,iq,2000,38,0
740,iq,2000,39,0
741,iq,2000,40,0
742,iq,2000,41,1
743,iq,2000,42,1
744,iq,2000,43,0
745,iq,2000,44,0
746,iq,2000,45,0
747,iq,2000,46,0
748,iq,2000,48,0
749,iq,2000,49,0
750,iq,2000,50,1
751,iq,2000,51,0
752,iq,2001,1,0
753,iq,2001,2,0
754,iq,2001,3,0
755,iq,2001,4,0
756,iq,2001,5,0
757,iq,2001,6,0
758,iq,2001,7,0
759,iq,2001,8,0
760,iq,2001,9,0
761,iq,2001,10,0
762,iq,2001,11,0
763,iq,2001,12,0
764,iq,2001,13,0
765,iq,2001,14,0
766,iq,2001,15,0
767,iq,2001,16,1
768,iq,2001,17,0
769,iq,2001,18,0
770,iq,2001,19,0
771,iq,2001,21,1
772,iq,2001,22,1
773,iq,2001,23,0
774,iq,2001,24,0
775,iq,2001,25,1
776,iq,2001,27,0
777,iq,2001,28,0
778,iq,2001,29,0
779,iq,2001,30,0
780,iq,2001,31,0
781,iq,2001,33,0
782,iq,2001,34,0
783,iq,2001,35,0
784,iq,2001,36,0
785,iq,2001,37,0
786,iq,2001,38,0
787,iq,2001,39,0
788,iq,2001,40,0
789,iq,2001,41,0
790,iq,2001,42,0
791,iq,2001,43,0
792,iq,2001,44,0
793,iq,2001,45,0
794,iq,2001,46,0
795,iq,2001,47,1
796,iq,2001,48,1
797,iq,2001,49,1
798,iq,2001,50,2
799,iq,2001,51,4
800,iq,2001,52,1
801,iq,2002,1,4
802,iq,2002,2,11
803,iq,2002,3,16
804,iq,2002,4,23
805,iq,2002,6,14
806,iq,2002,7,18
807,iq,2002,8,8
808,iq,2002,9,7
809,iq,2002,10,10
810,iq,2002,11,7
811,iq,2002,12,10
812,iq,2002,13,5
813,iq,2002,14,11
814,iq,2002,15,8
815,iq,2002,17,13
816,iq,2002,19,22
817,iq,2002,20,10
818,iq,2002,21,5
819,iq,2002,22,13
820,iq,2002,23,2
821,iq,2002,24,11
822,iq,2002,25,11
823,iq,2002,26,3
824,iq,2002,27,7
825,iq,2002,28,7
826,iq,2002,29,4
827,iq,2002,30,5
828,iq,2002,31,6
829,iq,2002,32,7
830,iq,2002,33,7
831,iq,2002,35,9
832,iq,2002,36,17
833,iq,2002,37,8
834,iq,2002,38,22
835,iq,2002,39,18
836,iq,2002,40,21
837,iq,2002,41,16
838,iq,2002,42,31
839,iq,2002,43,25
840,iq,2002,45,26
841,iq,2002,46,18
842,iq,2002,47,27
843,iq,2002,48,11
844,iq,2002,49,38
845,iq,2002,50,29
846,iq,2002,51,21
847,iq,2002,52,11
848,iq,2003,1,10
849,iq,2003,2,5
850,iq,2003,3,6
851,iq,2003,4,2
852,iq,2003,5,1
853,iq,2003,6,2
854,iq,2003,7,2
855,iq,2003,9,5
856,iq,2003,10,1
857,iq,2003,11,4
858,iq,2003,12,2
859,iq,2003,13,4
860,iq,2003,14,0
861,iq,2003,15,0
862,iq,2003,16,0
863,iq,2003,17,0
864,iq,2003,18,1
865,iq,2003,19,1
866,iq,2003,20,1
867,iq,2003,21,1
868,iq,2003,22,1
869,iq,2003,23,2
870,iq,2003,24,3
871,iq,2003,25,4
872,iq,2003,26,6
873,iq,2003,27,2
874,iq,2003,28,2
875,iq,2003,29,5
876,iq,2003,30,1
877,iq,2003,31,1
878,iq,2003,32,0
879,iq,2003,33,0
880,iq,2003,34,0
881,iq,2003,35,0
882,iq,2003,36,2
883,iq,2003,37,0
884,iq,2003,38,3
885,iq,2003,39,0
886,iq,2003,40,0
887,iq,2003,41,0
888,iq,2003,42,2
889,iq,2003,43,2
890,iq,2003,44,3
891,iq,2003,45,3
892,iq,2003,46,3
893,iq,2003,47,1
894,iq,2003,48,2
895,iq,2003,49,3
896,iq,2003,50,6
897,iq,2003,51,5
898,iq,2003,52,1
899,iq,2004,2,5
900,iq,2004,3,8
901,iq,2004,4,5
902,iq,2004,5,2
903,iq,2004,6,3
904,iq,2004,7,3
905,iq,2004,8,1
906,iq,2004,9,6
907,iq,2004,10,4
908,iq,2004,11,1
909,iq,2004,12,2
910,iq,2004,13,3
911,iq,2004,14,1
912,iq,2004,15,8
913,iq,2004,16,4
914,iq,2004,17,6
915,iq,2004,18,7
916,iq,2004,19,5
917,iq,2004,20,8
918,iq,2004,21,6
919,iq,2004,23,6
920,iq,2004,24,6
921,iq,2004,25,13
922,iq,2004,26,2
923,iq,2004,27,10
924,iq,2004,28,3
925,iq,2004,29,12
926,iq,2004,30,7
927,iq,2004,36,8
928,iq,2004,37,6
929,iq,2004,38,9
930,iq,2004,39,12
931,iq,2004,40,19
932,iq,2004,41,8
933,iq,2004,42,16
934,iq,2004,43,21
935,iq,2004,44,6
936,iq,2004,45,22
937,iq,2004,46,37
938,iq,2004,47,33
939,iq,2004,48,18
940,iq,2004,49,83
941,iq,2004,51,32
942,iq,2004,52,7
943,iq,2005,1,10
944,iq,2005,2,5
945,iq,2005,3,8
946,iq,2005,4,7
947,iq,2005,5,8
948,iq,2005,6,11
949,iq,2005,7,6
950,iq,2005,8,7
951,iq,2005,9,7
952,iq,2005,10,14
953,iq,2005,11,7
954,iq,2005,12,9
955,iq,2005,13,13
956,iq,2005,14,16
957,iq,2005,15,7
958,iq,2005,16,9
959,iq,2005,17,2
960,iq,2005,18,13
961,iq,2005,19,8
962,iq,2005,21,5
963,iq,2005,23,8
964,iq,2005,24,2
965,iq,2005,25,3
966,iq,2005,26,5
967,iq,2005,27,7
968,iq,2005,28,3
969,iq,2005,29,5
970,iq,2005,30,6
971,iq,2005,31,5
972,iq,2005,32,5
973,iq,2005,34,0
974,iq,2005,35,0
975,iq,2005,38,0
976,iq,2005,40,4
977,iq,2005,41,4
978,iq,2005,42,3
979,iq,2005,43,3
980,iq,2005,44,5
981,iq,2005,46,14
982,iq,2005,47,3
983,iq,2005,48,7
984,iq,2005,49,11
985,iq,2005,50,2
986,iq,2005,51,6
987,iq,2006,52,8
988,iq,2006,2,21
989,iq,2006,4,28
990,iq,2006,6,20
991,iq,2006,7,24
992,iq,2006,8,28
993,iq,2006,9,26
994,iq,2006,10,8
995,iq,2006,11,9
996,iq,2006,12,12
997,iq,2006,13,18
998,iq,2006,14,9
999,iq,2006,15,9
1000,iq,2006,16,6
1001,iq,2006,17,6
1002,iq,2006,18,8
1003,iq,2006,19,5
1004,iq,2006,20,7
1005,iq,2006,21,6
1006,iq,2006,22,5
1007,iq,2006,23,3
1008,iq,2006,24,1
1009,iq,2006,25,0
1010,iq,2006,26,1
1011,iq,2006,27,2
1012,iq,2006,28,3
1013,iq,2006,29,2
1014,iq,2006,30,2
1015,iq,2006,31,2
1016,iq,2006,32,2
1017,iq,2006,33,2
1018,iq,2006,34,4
1019,iq,2006,35,0
1020,iq,2006,36,6
1021,iq,2006,37,3
1022,iq,2006,38,2
1023,iq,2006,39,6
1024,iq,2006,40,2
1025,iq,2006,41,7
1026,iq,2006,42,4
1027,iq,2006,43,6
1028,iq,2006,44,6
1029,iq,2006,45,2
1030,iq,2006,46,13
1031,iq,2006,47,10
1032,iq,2006,48,5
1033,iq,2006,49,2
1034,iq,2007,1,0
1035,iq,2007,2,14
1036,iq,2007,3,6
1037,iq,2007,4,10
1038,iq,2007,5,5
1039,iq,2007,6,12
1040,iq,2007,7,9
1041,iq,2007,8,5
1042,iq,2007,9,11
1043,iq,2007,10,2
1044,iq,2007,11,6
1045,iq,2007,12,7
1046,iq,2007,13,6
1047,iq,2007,14,5
1048,iq,2007,15,9
1049,iq,2007,16,5
1050,iq,2007,17,8
1051,iq,2007,18,3
1052,iq,2007,19,4
1053,iq,2007,20,11
1054,iq,2007,21,5
1055,iq,2007,22,8
1056,iq,2007,23,4
1057,iq,2007,24,3
1058,iq,2007,25,1
1059,iq,2007,26,2
1060,iq,2007,28,4
1061,iq,2007,29,1
1062,iq,2007,30,8
1063,iq,2007,31,5
1064,iq,2007,32,3
1065,iq,2007,33,2
1066,iq,2007,34,7
1067,iq,2007,35,1
1068,iq,2007,36,6
1069,iq,2007,37,7
1070,iq,2007,38,5
1071,iq,2007,39,2
1072,iq,2007,40,6
1073,iq,2007,41,11
1074,iq,2007,42,6
1075,iq,2007,43,3
1076,iq,2007,44,11
1077,iq,2007,45,11
1078,iq,2007,46,5
1079,iq,2007,47,4
1080,iq,2007,48,9
1081,iq,2007,49,23
1082,iq,2007,50,28
1083,iq,2007,51,26
1084,iq,2007,52,7
1085,iq,2008,2,58
1086,iq,2008,3,26
1087,iq,2008,5,35
1088,iq,2008,6,37
1089,iq,2008,7,20
1090,iq,2008,8,29
1091,iq,2008,9,25
1092,iq,2008,10,23
1093,iq,2008,11,9
1094,iq,2008,13,6
1095,iq,2008,14,6
1096,iq,2008,15,3
1097,iq,2008,16,1
1098,iq,2008,17,3
1099,iq,2008,18,1
1100,iq,2008,19,1
1101,iq,2008,20,0
1102,iq,2008,21,2
1103,iq,2008,22,1
1104,iq,2008,23,1
1105,iq,2008,30,1
1106,iq,2008,31,5
1107,iq,2008,32,2
1108,iq,2008,33,5
1109,iq,2008,34,5
1110,iq,2008,35,5
1111,iq,2008,36,9
1112,iq,2008,37,17
1113,iq,2008,38,19
1114,iq,2008,39,25
1115,iq,2008,41,34
1116,iq,2008,42,63
1117,iq,2008,43,44
1118,iq,2008,44,50
1119,iq,2008,45,35
1120,iq,2008,46,16
1121,iq,2008,47,16
1122,iq,2008,48,13
1123,iq,2008,49,9
1124,iq,2008,50,15
1125,iq,2008,51,4
1126,iq,2008,52,0
1127,iq,2009,2,10
1128,iq,2009,3,11
1129,iq,2009,4,29
1130,iq,2009,5,35
1131,iq,2009,6,30
1132,iq,2009,7,20
1133,iq,2009,8,21
1134,iq,2009,9,12
1135,iq,2009,10,9
1136,iq,2009,11,11
1137,iq,2009,12,9
1138,iq,2009,13,5
1139,iq,2009,14,11
1140,iq,2009,15,3
1141,iq,2009,16,5
1142,iq,2009,17,5
1143,iq,2009,18,4
1144,iq,2009,19,4
1145,iq,2009,20,1
1146,iq,2009,21,0
1147,iq,2009,22,2
1148,iq,2009,24,3
1149,iq,2009,25,5
1150,iq,2009,26,2
